,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid
1/1/1990 0:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 1:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 2:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 3:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 4:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 5:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 6:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 7:00,835637.245,826725.791,-370517.889,-370517.889,839822.926,-32254.848,-370517.889,-35346.917,-370517.889,368147.119,-370517.889,164576.737,-370517.889,1080674.885,568202.402,864571.137,-370517.889,584295.94,581264.778,-370517.889,160913.247,-164915.813,852820.248,577842.43,562296.457,
1/1/1990 8:00,32959663.5,32565497.15,30651130.1,7441679.058,32695620.88,29628874.6,8932682.09,30673571.03,16466888.21,19128330.38,19282292.44,32006553.56,22454702.19,33097674.4,32617168.86,33017768.31,30408551.4,29921072.02,30365103.09,769643.709,30343054.78,26005325.11,32809854.75,32680594,32553452.43,
1/1/1990 9:00,77867187.17,79957377.1,81250205.93,35958864.5,80188967.39,80016100.03,25525164.18,76980919.86,74499285.99,69187163.5,66333710.42,79077292.87,71820940.19,83216319.56,80586076.01,72199832.69,80897778.43,67643808.67,79855077.91,4144235.693,73402814.21,72045348.21,81013707.53,82058291.73,82222157.58,
1/1/1990 10:00,78774774.5,79228114.34,79142266.69,70438198.49,79438113.86,78998940.64,65943964.61,76363600.92,78586250.57,78589910.52,71284076.03,77111520.9,75928802.27,81695213.79,78282346.47,39017982.88,78429825.37,61475793.47,79846754.23,37466908.13,74837720.98,80671518.45,78759898.93,80629185.57,81059879.38,
1/1/1990 11:00,72556671.12,74639021.43,74348619.59,67710660.18,75704237.83,73565337.22,58979533.52,73578339.31,74384692.14,75706501.06,66483042.8,74458294.21,74352446.38,77057507.79,72989696.25,69655590.8,74233210.46,47363023.22,73912494.09,74539535.6,73299542.79,76656337.28,67529982.1,75665708.42,76944163.95,
1/1/1990 12:00,68059535.08,70005147.49,70739721.31,71275620.58,72876032.88,70821265.01,51213749.05,71970270.33,70188887.1,72825835.47,66806714.49,71628958.82,71091769.51,74404402.28,69828514.08,72208777.23,71498848.13,40435373.69,70822401.31,70504073.76,70267722.72,73608672.86,65339534.38,72864363.31,74245092.45,
1/1/1990 13:00,72781987.29,74376697.88,72957975.4,72679911.63,75814063.26,75720536.77,58586786.93,74513800.88,72794226.09,74909916.45,65924033.38,73795598.55,71100985.55,77237278.9,72708221.79,76116977.98,74324226.78,37531234.19,73275991.55,36843802.59,72836933.26,76402902.8,68099645.45,75272695.72,76914195.48,
1/1/1990 14:00,76664046.14,78622412.48,74910584.36,61483157.79,78983256.46,77853423.47,69225894.27,74429439.85,73172305.25,78210048.53,52997108.5,77914580.05,76594083.29,81153523.34,76617455.56,79772550.54,78127055.24,49641967.98,75032397.53,23033925.62,76435488.89,80037879.72,73301089.32,79222547.25,81247254.5,
1/1/1990 15:00,68296169.28,78410091.25,78192206.18,44965566.38,68638336.68,80747164.59,77442177.99,60083084.22,35666817.44,77898852.98,33574013.19,77713007.66,75897348.25,80476287.26,76169438.9,78112209,78327003.46,17753698.19,70829006.19,27186287.78,77545309.65,79973516.77,39388578.96,80162584.26,82937771.6,
1/1/1990 16:00,17706124.44,31727236.08,32217076.36,15901237.38,17548888.12,31404790.52,30964850.47,23301695.42,2614826.833,30673167.03,10969978.51,31737516.52,31586034.33,32473249.62,30977821.28,26875757.89,31663249.3,17592537.51,30450645.61,22922945.06,29681651.77,32473761.75,10317658.94,32522920.66,33880817.44,
1/1/1990 17:00,123806.541,774146.626,791031.152,-370517.889,791031.152,781798.812,777995.104,791031.152,-370517.889,593628.373,587270.828,774146.626,765562.21,820809.772,748751.62,146756.094,765006.606,622105.565,582762.241,802690.636,131893.125,816614.476,597582.737,786848.738,808395.761,
