,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid
1/1/1990 0:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 1:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 2:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 3:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 4:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 5:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 6:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 7:00,,355121.513,-370517.889,-370517.889,159607.842,165472.887,-370517.889,162194.338,157017.335,-370517.889,-370517.889,-370517.889,-370517.889,870426.848,161802.129,172460.848,571856.467,-164064.189,578403.627,-370517.889,161549.098,-32149.603,-165110.746,-32880.098,158179.752,
1/1/1990 8:00,,22624786.41,18977678.18,10048219.33,21215096.98,21885303.51,13406554.25,21875099.96,14370337.03,8816181.524,15720507.75,19157775.64,12570381.01,27939231.39,22971712.94,17326564.2,25845177.18,18420734.82,25197621.87,3411254.483,21061920.73,15393351.81,20894193.61,22998695.82,25112561.56,
1/1/1990 9:00,,40247220.24,35343458.3,29663575.46,33868098.59,38664217.09,25861106.37,37801544.38,37825520.87,30893888.49,33765475.65,35423621.22,29369627.88,44673889.69,39202379.86,32725995.9,41848363.57,37305934.39,41846598.55,24175072.15,35185882.52,32155126.54,36626032.84,40536770.22,42394388.84,
1/1/1990 10:00,,54441338.18,52022961.65,48841268.7,52241163.3,54089981.17,44050746.78,50321784.94,51405086.66,53425515.84,47170176.68,51676218.17,46391364.94,58123278.33,52429169.81,38991809.95,54785034.4,49922065.95,55124826.06,25592102.8,48666546.42,57020784.2,49845839.78,54162368.68,56459164.16,
1/1/1990 11:00,,65571913.57,64693053.21,64895906.11,64121568.31,65758599.13,54238839.7,61427558.68,63254582.22,64833493.49,59499765.2,63943084.09,59587730.01,69278703.63,63366020.54,57764255.03,65500570.44,53179132.22,66154713.76,51977332.54,59257065.54,60016127.57,62253077.27,65855120.5,68011974.39,
1/1/1990 12:00,,70217238.96,69757687.48,66463968.89,68891266.64,71351384.36,47296988.68,66928182.19,67954711.95,69705900.44,64457753.81,68489850.42,67906060.9,74053371.73,67958868.82,70044980.88,69967787.08,56571369.43,70566204.35,67997312.59,65807092.66,62504683.18,63731894.25,70752752.28,73202487.68,
1/1/1990 13:00,,65145027.45,64758646.96,60495817.85,63704399.85,66028039.43,49074229.42,55718965.09,58348810.88,64277851.41,59789850.71,63389536.21,64658240.94,68891614.26,62545816.24,65286822.32,64774127.53,48744744.6,65259190.14,42577883.41,61162127.38,65588179.14,57364866.03,65897311.05,68632026.6,
1/1/1990 14:00,,53621888.75,52861448.06,44747329.27,52221053.97,54485153.67,46208321.89,36743954.73,35212085.81,52518061.01,47806435.43,51567071.96,53233003.98,57119221.16,50984878.17,53504757.8,53413467.6,35113920.75,53708715.57,28277625.98,50362343.35,50471099.76,52490791.78,54918423.69,57662125.33,
