,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid
1/1/1990 0:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 1:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 2:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 3:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 4:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 5:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 6:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 7:00,-142186.397,-370517.889,1166834.552,2238956.326,975096.188,-370517.889,5907422.28,1167173.644,-370517.889,-32688.104,1807583.795,5884956.606,2007048.52,4042689.137,-137841.255,2238788.847,-370517.889,2036521.221,4385477.42,5873096.329,426798.05,-370517.889,5288883.064,5840037.309,-370517.889,
1/1/1990 8:00,38083282.81,1634476.762,38825829.82,40874843.27,17076891.66,1071617.393,49105807.81,36127440.15,1171277.872,18166759.89,30643898.43,47861482.45,31454549.29,45353080,11110613.44,37259161.64,9264597.616,27820564.9,48625553,49589614.79,41866645.53,2008769.982,41287641.34,43903735.8,13768257.48,
1/1/1990 9:00,70124093.39,10033600.7,46719233.62,66974891.41,15818585.92,3902060.154,72567875.16,68038772.33,3393346.158,38190679.66,55593741.78,72306053.13,55288682.98,73019770.95,26323246.1,65891599.44,55667538.51,34070727.58,73212862.85,73645871.9,72860122.38,17592260.53,58431394.39,56976247.81,6462441.61,
1/1/1990 10:00,65229332.06,21283676.02,43817087.96,48889683.77,27031223.87,7312769.195,65970092.56,64487980.74,6322722.908,32478055.93,58406522.22,62981533.78,57018024.68,71511242.41,29904559.06,62100059.22,14292661.94,28104717.61,67271267.29,66290457.23,67198931.87,16013137.31,64385018.36,46207160.16,7253770.719,
1/1/1990 11:00,56278644.38,35854839.6,57853276.56,50282042.6,40428794.87,12283025.67,59876145.43,56582478.34,9545848.664,29311021.1,56324072.33,47029136.9,54988673.04,62042935.76,42873778.79,57182794.7,27818094.95,37439325.89,61019495.68,59270552.5,54804880.08,27050509.29,59262702.48,51877114.72,9086983.868,
1/1/1990 12:00,58425900.27,43872974.32,58977638.32,37107411.04,30548996.66,9609467.764,59311682.15,48022155.25,35121885.94,37963820.92,56328790.82,54866130.96,57699412.81,55944751.41,58652770.38,59409490.26,38101052.81,59953849.99,61324915.55,57922691.22,61418190.99,33264074.78,50512006.45,51601743.38,8692126.343,
1/1/1990 13:00,60889550.6,37567787.77,63450604.17,52481669.54,25822752.17,7294953.336,65131683.12,32758848.49,60533274.43,53295733.64,59525221.37,52826506.02,59096102.72,70946414.77,64757223.01,63593337.87,65952415.32,65125984.11,67149453.28,52917116.28,69045547.8,37822927.24,19289957.08,53867485.82,6802835.378,
1/1/1990 14:00,66274789.75,27635712.56,62988602.87,64758292.59,31886133.16,4689536.528,67742830.63,24245363.13,56231685.46,47985386.23,59316534.88,66207438.72,37785919.92,73485761.94,63692066.41,52656254.21,71651887.97,65053636.49,73015311.6,20077593.87,74320162.53,31673537.72,3356347.966,54325332.59,3255100.686,
1/1/1990 15:00,36998941.16,22538787.96,19175315.16,32737424.02,21274612.02,4024989.104,28781175.86,22602214.85,32058419.77,22080601.37,26274392.92,38481795.14,20824208.86,33636234.3,27887471.37,22142713.93,39409636.69,31521173.22,37552028.43,5070603.133,41125630.98,22147607.12,5593603.733,29820648.09,715542.244,
1/1/1990 16:00,1368427.912,647640.619,-370517.889,-370517.889,-83002.766,-370517.889,-370517.889,3359975.809,1167551.182,-340345.985,1038741.496,3748552.414,-338757.63,1474981.769,1216654.037,1233035.605,3684753.851,1441081.06,3175414.441,1363248.86,3482122.931,1294957.453,-370517.889,917846.417,-370517.889,
1/1/1990 17:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
