,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid
1/1/1990 0:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 1:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 2:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 3:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 4:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 5:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 6:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 7:00,,-370517.889,939648.426,1779191.378,2004139.839,-370517.889,4052478.587,945723.303,-370517.889,-370517.889,3056437.669,931931.306,4482370.515,555682.527,2984345.747,2465601.672,-370517.889,3309130.356,3250450.024,3773824.2,2919393.545,773842.53,2741981.844,2742840.605,772443.365,
1/1/1990 8:00,,13010572.26,16311640.25,17667585.1,12950632.57,9067084.098,24064052.3,12681164.9,2223526.218,4975902.082,20818660.58,16014739.08,25808471.78,15864018.75,9474776.764,21001194.03,7831851.662,16176287.62,24500482.44,24547389.44,24385300.13,12372583.99,21916710.21,24020810.89,15723391.53,
1/1/1990 9:00,,26103889.85,29420015.49,30918198.81,33667437.75,13118094.88,28853855.92,31174367.33,8375734.566,8272632.074,32719859.77,29226523.93,36680471.77,32949527.61,31532756.56,33163740.88,21393510.28,14565396.3,37347149.73,36032344.79,36233327.83,21724597.46,33791510.37,33372206.97,17658600.51,
1/1/1990 10:00,,34549813.65,43577821.66,37356671.97,34933223.02,9398013.221,42365010.89,42156472.55,11316284.84,8794775.248,47443345.44,43350393.38,48061842.01,44772489.76,31432253.56,44616047.58,19483845.98,11254850.43,48781628.65,46839400.38,48495926.35,30900668.8,46249177.91,40748408.59,19655766.43,
1/1/1990 11:00,,39690557.09,54564854.94,52358021.49,40267841.1,11231044.15,53472550.62,47308004.87,11481668.78,5211137.026,56290666.82,54065064.57,55206395.88,44529245.03,45395921.57,51474371.33,36294149.4,13109632.88,56925695.01,54881862.81,52828886.06,41822108.43,55667165.3,52957864.67,14450112.15,
1/1/1990 12:00,,42960694.67,53772395.61,38678284.93,34358162.08,7942893.7,53766952.54,46151980.48,35242196.32,5339620.198,54704398.14,53262721.48,54091416.86,33014550.32,50949174.59,52868876.23,37746630.36,36406934.83,56101992.35,53911173,53438237.57,51785184.82,52268812.78,50435756.24,14158509.25,
1/1/1990 13:00,,33038939.19,44926095.02,38769957.97,35153197.29,11469799.84,45410257.72,31541027.97,42491768.3,15216808.89,46241058.06,44531705.1,44814702.18,32938529.98,42572317.56,43581393.62,46450143.92,42207242.7,47085474.8,40323034.35,47178470.32,42641165.22,29974089.86,40896014.09,14857534.95,
1/1/1990 14:00,,15015793,33643825.88,31808174.16,25424625.83,17214890.71,29592663.02,19123108.21,24869056.87,9599267.69,34833799.64,33505684.63,32631494.47,34223166.74,30469749.33,31909513.64,35670972.06,31666305.39,35384798.94,23974752.84,35554247.1,29967127.48,16025280.32,28867852.04,22488190.78,
