,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid
1/1/1990 0:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 1:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 2:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 3:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 4:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 5:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 6:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 7:00,,3696759.448,3174303.722,288613.352,3726218.468,4827946.489,3039924.55,-238661.843,3723288.314,4497224.895,-370517.889,2453693.228,3976570.256,4352822.731,3813096.067,3671696.762,3764878.553,4955163.605,-139412.242,4782293.744,4929498.093,3660414.291,4085949.031,4847986.388,3185884.91,3753522.103,4843576.402,
1/1/1990 8:00,,48783137.08,49304496.13,12476268.13,28471555.17,44975273,16968337.44,3365844.943,49841284.01,26491865.46,2755669.156,8548833.266,53123581.31,24169620.7,47362665.79,19774738.27,30573280.57,45852194.07,14167873.15,21063250.46,49554127.7,49411586.02,50869563.52,28259352.59,35880113.92,48338426.36,25957409.11,
1/1/1990 9:00,,70449301.29,71368835.07,29265494.59,36578795.15,68911104.01,25777962.94,7225118.996,71283136.72,59161777.32,5348859.922,9889950.844,66865018.46,49333054.18,65271120.01,15476471.09,39616455.7,68772642.27,38951354.23,50618057.09,73126120.54,72551368.75,74872860.99,42506229.91,62218202.1,47174520.23,29683309.11,
