,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid
1/1/1990 0:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 1:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 2:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 3:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 4:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 5:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 6:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 7:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 8:00,508915.751,1472405.941,-370517.889,-242121.673,2610267.925,-370517.889,940911.407,-370517.889,-370517.889,-370517.889,173827.827,-244854.569,-241101.968,1329527.595,-48524.587,-40872.598,868023.175,1055581.166,-370517.889,1261886.348,-340885.536,-243991.406,2530670.322,-370517.889,-370517.889,
1/1/1990 9:00,20369276.69,21520314.97,14058497.9,8907551.893,25936222.13,21181266.56,22776219.06,1099420.007,4300741.866,413114.847,10628120.94,5568013.454,10183912.81,23310678.76,7238204.368,10080159.84,16135817.16,9502466.772,4533773.288,24482227.06,7878385.513,4882073.031,27000013.44,5115434.465,1620944.394,
1/1/1990 10:00,45182457.47,45839847.63,26341290.44,14261507.42,34700091.02,55476284.98,38014698.24,14814953.98,11526898.05,2401674.831,24721487.53,12244455.41,29032506.12,50854049.77,7235236.502,16019643.47,24871360.16,12820271.86,11329482.52,49950794.84,18676051.24,9627576.563,40506286.11,10248132.45,7779315.296,
1/1/1990 11:00,48056965.44,35819295.01,35511818.22,21206694.45,47321220.72,41168204.24,55047752.7,26749148.48,13602049.07,4390915.134,37516019.73,19477133.78,49090438.99,46673605.93,14392753.52,23889634.4,25390520.94,17410065.09,16769720.21,48357123.46,28221420.65,16534851.94,45915148.57,14473739.84,11831773.31,
1/1/1990 12:00,44422204.31,40527542.08,39806581.59,22142222.16,45621132.18,17363943.66,49640010.22,45938199.57,16590457.1,6332339.373,31517206.24,21270963.12,49124668.81,28236339.91,17902673.83,33184376.93,27662633.12,21367923.12,22836005.39,43953768.41,30518685.42,22900566.61,45588093.63,18420651.71,17352476.67,
1/1/1990 13:00,45613344.91,48177136.59,23900513.33,18476634.24,49289977.98,9471343.636,49055021.92,51957285.29,12894111.72,6578606.089,31935813.54,18655751.89,51871343.79,15628378.02,17373485.07,32802402.02,28499889.71,22850910.96,21897449.75,48260421.84,27701409.7,18303128.26,47430749.96,12259058.58,15760670.11,
1/1/1990 14:00,52611032.29,50348747.22,12075988.15,12819803.15,34610201.16,5683224.938,33899349.78,55108009.19,12143300.23,5555613.945,31099509.86,13099096.14,49940254.89,11709452.46,9659056.891,17799612.22,26401359.4,21600827.44,20289425.28,54138969.94,21750692.49,12430691.9,50816875.76,7011010.219,8064660.275,
1/1/1990 15:00,41224263.93,34721122.73,12726283.93,11879852.61,11802705.84,2458406.183,17884384.27,29883495.07,11320950.11,16831920.42,17400870.86,7212002.77,18164540.93,8707515.219,5220544.866,7197357.679,30370211.52,20794951.49,16871130.88,48795817.12,25621943.71,6884595.708,48139382.74,6622108.961,3539377.185,
1/1/1990 16:00,8477596.331,7103202.138,2908127.636,6678513.46,5455032.737,961672.848,676798.463,7474298.722,1067072.399,4663769.5,1358363.241,696300.454,2640655.482,5730185.298,811893.607,2053920.485,4122175.102,6264924,4923183.255,9993654.882,8211071.998,3002038.673,7755280.784,5554285.609,163875.841,
1/1/1990 17:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
