,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid
1/1/1990 0:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 1:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 2:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 3:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 4:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 5:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 6:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 7:00,,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 8:00,,75208.989,1784648.669,-370517.889,74726.937,2061084.278,719903.263,934126.137,-45292.604,-370517.889,1600196.978,1190057.946,-338447.501,1544256.977,474484.193,-338447.501,1677718.348,-241056.949,-370517.889,2829648.6,528867.498,169251.762,1842693.68,-41250.131,-370517.889,
1/1/1990 9:00,,12407748,18100790.68,11813625.12,11784652.13,17551515.72,12331563.53,10735877.01,17210469.88,7322553.377,6818677.776,17267878.81,13211278.3,17153076.24,5174704.383,17297352.69,14266118.62,8215461.219,4694949.33,24043778.09,6638627.157,4731281.61,8419141.956,11771676.28,7148075.746,
1/1/1990 10:00,,31077763.1,19455508.11,19413004.51,18282462.71,30828173.09,20566018.19,28973880.3,29272426.92,15406558.7,24402597.4,19960404.84,25088457.89,29944513.85,3686560.3,27181570.31,22863511.39,16324673.68,9278599.563,34679783.99,22633404.53,18679621.13,16313745.52,22755840.33,11422858.67,
1/1/1990 11:00,,29095897.83,30007230.65,16261857.4,26465207.01,34537640.23,28260178.91,29596702.45,25943890.1,12724491.78,20416815.81,30074621.47,23560880.97,32254185.47,13213146.69,26046748.66,27723113.62,9005489.557,7180084.917,43026214.83,15183973.54,10096610.07,35911407.62,12555450.29,7736870.637,
1/1/1990 12:00,,26491450.46,38407953.87,13452612.81,22328059.26,24831426.74,29401613.07,36555601.99,20183249.01,8905906.551,15523377.88,38842911.16,23621957.03,22997455.74,10768226.02,21821990.68,25686863.03,9234171.013,6241645.448,48431232.17,9088981.328,8507738.71,49541439.33,9706403.655,7480043.261,
1/1/1990 13:00,,25317578.52,29311826.19,13708259.18,22028922.48,16543872.06,25745119.62,38684748.05,21791044.43,11379091.21,27253818.41,30747387.29,24717392.4,24950215.98,19734947.26,21822008.85,29534459.29,12156747.72,5440837.194,45918090.28,13063054.95,7344407.512,46941516.31,6303709.748,7629700.018,
1/1/1990 14:00,,28687041.9,25417418.74,18365825.87,24878096.14,17649810.32,25952983.43,30678152.42,30369071.67,20946504.67,23790850.98,29215321.46,26669538.86,27249148.89,13063851.28,25498720.8,27451105.87,17758746.27,8752632.516,38733886.24,21153539.4,2704201.859,37689285.67,9463540.383,11208392.34,
