,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid,E_Grid
1/1/1990 0:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 1:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 2:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 3:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 4:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 5:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 6:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
1/1/1990 7:00,9003034.272,549348.668,-370517.889,4769114.513,-370517.889,-370517.889,-370517.889,7964657.45,3997817.307,-370517.889,8961000.597,9472601.854,8304581.121,5438791.132,8174494.921,-370517.889,8295731.123,535477.18,-215878.096,6237870.58,9745357.597,7724203.128,8721901.907,9036307.066,-370517.889,
1/1/1990 8:00,64659387.95,5513064.467,1667169.997,43154489.81,10220026.1,3152060.103,1725955.132,54095724.94,16705246.12,2900121.286,73494503.82,76720080.35,41817756.9,2991043.062,68543595.64,1418787.072,69018450.73,7787688.727,11044834.59,5740716.63,63575076.66,41653014.79,47535330.79,66721696.16,9723027.006,
1/1/1990 9:00,75639090.37,21910701.97,7979098.146,72751882.49,60505566.21,4869022.814,6766698.006,32073482.76,7003239.359,7846119.876,81957744.56,82527749.88,57526527.69,4182293.794,77924785.14,4016939.618,78891162.64,11265938.27,18440841.07,15365572.76,79159522.69,44917540.83,71427744.54,77506296.04,14334867.21,
1/1/1990 10:00,73139216.29,29260030.45,23047619.34,80246898.32,73941380.57,11438091.39,12662349.16,42833506.9,8924950.72,9099505.211,77544248.63,77577190.33,76072426.12,7612670.551,74610641.11,7328798.605,76550032.97,19362006.76,22240563.25,21901401.67,78375317.05,19337357,71420431.59,74673935.83,8521972.317,
1/1/1990 11:00,68928201.49,28391840.23,44089872.54,77675303.03,69868527,10214120.48,18463184.58,15139526.59,10001092.19,11500678.68,73264847.86,73034074.75,73073877.84,13891347.53,71045964.01,9976478.373,72211164.04,28285586.88,14345709.28,10311086.22,74717570.61,34922978.53,59864150.45,70683649.88,28842240.28,
1/1/1990 12:00,70337030.6,17926719.62,54779634.96,76455660.44,69493624.84,9573803.68,19863104.16,47238013.38,13531059.74,12538956.36,71849509.32,72704962.99,73611900.54,14147941.46,70870256.25,9972381.841,71297346.99,14220762.64,17654696.66,15983781.47,75255853.38,35324270.72,40001977.17,71035945.01,49955651.1,
1/1/1990 13:00,73947234.13,9843314.75,61982992.16,72827411.76,69320260.22,7157627.339,8262957.532,54946585.85,11249182.3,17445640.64,76384040.32,74524159.58,77890255.41,33957005.45,75133485.56,7460254.862,73576083.28,7789060.577,13009728.23,9546859.453,79571565.99,27066970.13,42574685.74,74673935.83,34177370.54,
1/1/1990 14:00,76291060.61,4849227.277,65786883.53,55027382.63,70330223.26,6278631.961,7001424.942,42890413.07,4910547.339,31623982.91,71307468.91,78440156.37,81678470.92,27340090.01,79518919.36,4541504.309,70531528.46,4198766.728,12074083.75,7817386.573,83439967.45,18343287.75,35148859.04,77440787.43,48082356.84,
1/1/1990 15:00,64236123.07,2218960.106,57207502.31,25294876.92,53238400.44,2353955.842,5321022.826,13182753.39,3395304.44,50346191.04,26674391.35,67195478.67,69564109.43,49867255.36,68129348.86,1688783.786,46949407.98,1580604.491,7051566.052,6450749.204,72495929.96,15896337.62,4765717.321,63178466.99,31429532.28,
1/1/1990 16:00,8202215.998,-370517.889,7071969.756,2465785.136,4594562.565,-370517.889,-370517.889,334474.917,-114573.949,7564553.432,5630965.383,7588076.51,7622110.441,6274453.04,7388072.693,-370517.889,5258670.605,-370517.889,-106789.965,-1950.438,8457274.938,589905.203,-109673.191,7956286.906,-370517.889,
1/1/1990 17:00,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,-370517.889,
